売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
75213,110824,564,株式会社石台家具                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
75189,110823,141,株式会社オーティーエル                          ,大野記念病院工事                                ,防災,1,,,,,,,,,,,,
75148,110821,308,(有)千本電気工事                                ,光電式ｽﾎﾟｯﾄ型感知器2種ﾍﾞｰｽ共（ﾉｰﾐ製）           ,防災,1,,,,,,,,,,,,
75229,110820,26,有限会社和歌浦電業                              ,憩いの家　100％                                 ,防災,1,,,,,,,,,,,,
75225,110820,35,株式会社葵消防設備                              ,感知器増設工事                                  ,防災,1,,,,,,,,,,,,
75214,110820,38,伸和電設株式会社                                ,4A　LAN工事                                     ,電気,1,,,,,,,,,,,,
75217,110820,38,伸和電設株式会社                                ,三菱5工場2階LAN工事                             ,電気,1,,,,,,,,,,,,
75218,110820,38,伸和電設株式会社                                ,三菱6工場3階照明器具・感知器・等取付            ,電気,1,,,,,,,,,,,,
75219,110820,38,伸和電設株式会社                                ,三菱3工場2階事務所                              ,電気,1,,,,,,,,,,,,
75220,110820,38,伸和電設株式会社                                ,3工場2階MS空調工事                              ,電気,1,,,,,,,,,,,,
75224,110820,38,伸和電設株式会社                                ,三菱7工場4階試験室照明工事                      ,防災,1,,,,,,,,,,,,
75223,110820,39,有限会社マイクリエイト                          ,京都ダイソウ様                                  ,防災,1,,,,,,,,,,,,
75170,110820,45,株式会社アイワライフネット                      ,U-Buil十二番丁                                  ,防災,1,,,,,,,,,,,,
75171,110820,45,株式会社アイワライフネット                      ,アネシス・ヒロ　　住宅警報器取付                ,防災,1,,,,,,,,,,,,
75172,110820,45,株式会社アイワライフネット                      ,糸川順子一戸建　　住宅警報器取付                ,防災,1,,,,,,,,,,,,
75173,110820,45,株式会社アイワライフネット                      ,シティハイツアルム　　　消防設備保守点検        ,防災,1,,,,,,,,,,,,
75203,110820,48,有限会社レインボーシステムズ                    ,7月23日　エクロールプラザ　電球交換             ,電気,1,,,,,,,,,,,,
75190,110820,49,株式会社堀田組                                  ,NO10921-225                                     ,防災,1,,,,,,,,,,,,
75191,110820,49,株式会社堀田組                                  ,NO10921-260                                     ,防災,1,,,,,,,,,,,,
75192,110820,49,株式会社堀田組                                  ,NO10921-261                                     ,防災,1,,,,,,,,,,,,
75193,110820,49,株式会社堀田組                                  ,NO10921-266                                     ,防災,1,,,,,,,,,,,,
75194,110820,49,株式会社堀田組                                  ,NO10921-267                                     ,防災,1,,,,,,,,,,,,
75195,110820,49,株式会社堀田組                                  ,NO10921-267                                     ,防災,1,,,,,,,,,,,,
75196,110820,49,株式会社堀田組                                  ,NO10921-268                                     ,防災,1,,,,,,,,,,,,
75197,110820,49,株式会社堀田組                                  ,NO10921-263                                     ,防災,1,,,,,,,,,,,,
75198,110820,49,株式会社堀田組                                  ,NO10921-264                                     ,防災,1,,,,,,,,,,,,
75199,110820,49,株式会社堀田組                                  ,NO10921-265                                     ,防災,1,,,,,,,,,,,,
75200,110820,49,株式会社堀田組                                  ,NO10921-258                                     ,防災,1,,,,,,,,,,,,
75202,110820,53,紀北防災                                        ,木本産業　消防設備保守点検　応援                ,防災,1,,,,,,,,,,,,
