売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
88738,210630,15,泉州防災株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88739,210630,15,泉州防災株式会社                                ,イオンモールりんくう泉南                        ,防災,1,,,,,,,,,,,,
88755,210630,207,ニッタン株式会社　和歌山営業所                  ,日赤消防設備保守点検後改修工事                  ,防災,1,,,,,,,,,,,,
88749,210630,419,綜合警備保障株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88748,210630,729,ＡＬＳＯＫファシリティーズ株式会社              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88730,210630,751,岡野消防設備株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88731,210630,751,岡野消防設備株式会社                            ,123水島店　Ⅱ期工事                             ,防災,1,,,,,,,,,,,,
88767,210630,834,株式会社ユニトラ                                ,トランスコスモス㈱様                            ,防災,1,,,,,,,,,,,,
88750,210630,A59,グリーンシャポービル管理組合                    ,グリーンシャポービル                            ,防災,1,,,,,,,,,,,,
88777,210629,437,株式会社　関口建設                              ,納品                                            ,防災,1,,,,,,,,,,,,
88732,210629,751,岡野消防設備株式会社                            ,北野田ビル                                      ,防災,1,,,,,,,,,,,,
88733,210629,751,岡野消防設備株式会社                            ,第3永楽荘                                       ,防災,1,,,,,,,,,,,,
88746,210629,762,加太　海月                                      ,1階コインランドリー                             ,防災,1,,,,,,,,,,,,
88729,210625,505,神樂防災株式会社                                ,現場応援費                                      ,防災,1,,,,,,,,,,,,
88757,210625,909,有限会社　虹                                    ,ケアセンター虹                                  ,防災,1,,,,,,,,,,,,
88727,210624,652,小川電機株式会社　貝塚営業所                    ,(仮称)KOBAKEN株式会社新築工事                   ,防災,1,,,,,,,,,,,,
88762,210621,419,綜合警備保障株式会社                            ,ユニオン開発株式会社ルマンA4号館                ,防災,1,,,,,,,,,,,,
88769,210621,626,株式会社オフィスエイト                          ,大阪市中央卸売市場11階大阪中央青果㈱            ,防災,1,,,,,,,,,,,,
88710,210620,36,有限会社紀州エンジニアリング                    ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88685,210620,38,伸和電設株式会社                                ,三菱電機　消防設備保守点検（総合点検）          ,防災,1,,,,,,,,,,,,
88687,210620,45,株式会社アイワライフネット                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88677,210620,378,積水ハウス不動産関西株式会社                    ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88698,210620,556,　　山東                                        ,照明器具取替工事                                ,電気,1,,,,,,,,,,,,
88725,210620,814,ヒデイ建設株式会社                              ,建築設備定期点検                                ,防災,1,,,,,,,,,,,,
88704,210620,881,株式会社赤土建設                                ,牧尾様邸                                        ,電気,1,,,,,,,,,,,,
