売上日=uriagebi,"売上№=masterid,dempyounum",得意先ｺｰﾄﾞ=customerid,
2021/4/15,88868,634,
2021/4/15,88869,634,
2021/4/15,88870,634,
2021/4/15,88871,634,
2021/4/2,88446,1079,
2021/4/10,88463,1080,
2021/4/3,88472,45,
2021/4/2,88473,45,
2021/4/7,88474,45,
2021/4/7,88475,45,
2021/4/9,88476,45,
2021/4/13,88477,45,
2021/4/20,88478,45,
2021/4/20,88479,45,
2021/4/20,88481,378,
2021/4/15,88482,634,
2021/4/15,88483,634,
2021/4/15,88484,634,
2021/4/16,88488,1086,
2021/4/17,88491,950,
2021/4/15,88493,279,
2021/4/3,88494,279,
2021/4/25,88495,505,
2021/4/13,88497,494,
2021/4/13,88499,292,
2021/4/16,88501,48,
2021/4/16,88504,48,
2021/4/16,88505,48,
2021/4/7,88506,38,
2021/4/14,88507,38,
2021/4/12,88508,38,
2021/4/18,88509,38,
2021/4/20,88515,180,
2021/4/9,88526,140,
2021/4/9,88528,140,
2021/4/14,88529,198,
2021/4/13,88530,1055,
2021/4/8,88531,1055,
2021/4/12,88532,233,
2021/4/30,88533,616,
2021/4/1,88535,259,
2021/4/15,88537,419,
2021/4/10,88538,419,
2021/4/30,88539,751,
2021/4/21,88540,751,
2021/4/13,88541,751,
2021/4/24,88542,396,
2021/4/28,88544,751,
2021/4/16,88545,15,
2021/4/30,88546,15,
2021/4/1,88547,15,
2021/4/1,88548,15,
2021/4/15,88549,15,
2021/4/7,88550,15,
2021/4/7,88551,15,
2021/4/10,88552,15,
2021/4/13,88553,15,
2021/4/24,88554,15,
2021/4/21,88555,15,
2021/4/24,88556,15,
2021/4/2,88557,15,
2021/4/30,88559,729,
2021/4/30,88560,419,
2021/4/30,88562,259,
2021/4/30,88565,259,
2021/4/28,88566,419,
2021/4/23,88569,15,
2021/4/30,88570,899,
2021/4/30,88571,616,
2021/4/27,88573,1087,
2021/4/30,88574,199,
2021/4/30,88575,751,
2021/4/30,88576,751,
2021/5/7,88577,652,
2021/5/7,88577,652,
2021/4/30,88578,1065,
2021/5/20,88581,378,
2021/5/15,88583,634,
2021/5/20,88584,45,
2021/5/8,88589,45,
2021/5/11,88590,45,
2021/5/15,88591,45,
2021/5/7,88592,38,
2021/5/19,88594,663,
2021/5/19,88596,3,
2021/5/8,88597,546,
2021/5/18,88601,582,
2021/5/6,88603,48,
2021/5/6,88604,48,
2021/5/8,88614,11,
2021/5/21,88616,652,
2021/5/25,88618,505,
2021/5/31,88619,15,
2021/5/24,88620,15,
2021/5/1,88621,15,
2021/5/15,88622,15,
2021/5/21,88624,15,
2021/5/13,88625,15,
2021/5/13,88626,15,
2021/5/25,88628,1059,
2021/5/31,88629,899,
2021/5/14,88630,616,
2021/5/6,88631,452,
2021/5/26,88632,1071,
2021/5/27,88633,692,
2021/5/8,88634,259,
2021/5/22,88636,259,
2021/5/27,88637,259,
2021/5/25,88638,1086,
2021/5/18,88639,284,
2021/5/31,88643,751,
2021/5/12,88644,751,
2021/5/27,88645,751,
2021/5/20,88646,751,
2021/5/7,88647,751,
2021/5/12,88648,751,
2021/5/13,88649,751,
2021/5/31,88650,15,
2021/5/11,88651,284,
2021/5/14,88653,729,
2021/5/31,88654,419,
2021/5/17,88655,207,
2021/5/31,88663,199,
2021/5/31,88666,199,
2021/6/9,88668,652,
2021/6/9,88669,652,
2021/5/31,88670,1065,
2021/6/15,88671,131,
2021/6/15,88673,634,
2021/6/15,88675,634,
2021/6/20,88677,378,
2021/6/16,88678,152,
2021/6/20,88679,1088,
2021/5/21,88681,45,
2021/5/22,88682,45,
2021/5/26,88683,45,
2021/5/31,88684,45,
2021/6/20,88685,38,
2021/6/9,88686,38,
2021/6/20,88687,45,
2021/6/19,88688,45,
2021/5/25,88691,152,
2021/5/24,88695,546,
2021/6/7,88696,36,
2021/5/31,88697,48,
2021/6/20,88698,556,
2021/5/24,88699,292,
2021/5/6,88700,881,
2021/5/18,88703,881,
2021/6/20,88704,881,
2021/6/11,88705,279,
2021/5/25,88706,279,
2021/6/18,88707,48,
2021/6/20,88710,36,
2021/5/13,88711,972,
2021/5/12,88712,152,
2021/5/27,88716,138,
2021/5/27,88721,1089,
2021/5/28,88722,438,
2021/5/28,88723,763,
2021/6/20,88725,814,
2021/6/24,88727,652,
2021/6/25,88729,505,
2021/6/30,88730,751,
2021/6/30,88731,751,
2021/6/29,88732,751,
2021/6/29,88733,751,
2021/6/7,88734,751,
2021/6/2,88735,751,
2021/6/1,88736,751,
2021/6/16,88737,751,
2021/6/30,88738,15,
2021/6/30,88739,15,
2021/6/3,88740,15,
2021/6/9,88741,15,
2021/6/15,88743,15,
2021/6/1,88744,15,
2021/6/4,88745,15,
2021/6/29,88746,762,
2021/6/30,88748,729,
2021/6/30,88749,419,
2021/6/30,88750,1059,
2021/6/18,88753,732,
2021/6/17,88754,1055,
2021/6/30,88755,207,
2021/6/18,88756,1075,
2021/6/25,88757,909,
2021/6/4,88760,1086,
2021/6/2,88761,688,
2021/6/21,88762,419,
2021/6/5,88763,514,
2021/5/26,88764,1009,
2021/6/30,88767,834,
2021/6/21,88769,626,
2021/6/1,88772,1059,
2021/6/18,88773,262,
2021/6/14,88774,616,
2021/5/29,88775,616,
2021/6/4,88776,616,
2021/6/29,88777,437,
2021/6/11,88778,1009,
2021/6/2,88779,259,
2021/6/5,88781,899,
2021/6/5,88784,751,
