売上№,売上日,行№,品名,単位,数量,単価,金額,備考
88868,2021/4/15,1,ＬＡＢＩ渋谷　消防申請                  ,　　,      ,         ,          ,
88868,2021/4/15,2,工事計画届出書・使用開始届出書          ,式　,1,200000,200000,
88869,2021/4/15,1,YAMADA IKEBUKUROｱｳﾄﾚｯﾄ･ﾘﾕｰｽ＆TAXFREE館  ,　　,      ,         ,          ,
88869,2021/4/15,2,消防申請                                ,　　,      ,         ,          ,
88869,2021/4/15,3,工事計画届出書・使用開始届出書          ,式　,1,200000 ,200000 ,
88870,2021/4/15,1,ＬＡＢＩ新宿　消防申請                  ,　　,      ,         ,          ,
88870,2021/4/15,2,工事計画届出書・使用開始届出書          ,式　,1,200000 ,200000 ,
88871,2021/4/15,1,コンセプトＬＡＢＩ東京　消防申請        ,　　,      ,         ,          ,
88871,2021/4/15,2,工事計画届出書・使用開始届出書          ,式　,1,200000 ,200000 ,
88446,2021/4/2,1,魚谷メンタルクリニック　様              ,　　,      ,         ,          ,
88446,2021/4/2,2,診察室　自動火災報知器取替工事          ,式　,1,11000 ,11000 ,
88463,2021/4/10,1,差動式スポット型感知器2種               ,個　,1,1850 ,1850 ,4月10日
88463,2021/4/10,2,定温式スポット型感知器特種              ,個　,3,1300 ,3900 ,〃
88463,2021/4/10,3,AE0.9-4C　電線                          ,ｍ　,20,35 ,700 ,〃
88463,2021/4/10,4,工事費                                  ,式　,1,20000 ,20000 ,〃
88463,2021/4/10,5,試験調整費                              ,式　,1,5000 ,5000 ,〃
88463,2021/4/10,6,消耗品雑材費                            ,式　,1,1000 ,1000 ,〃
88463,2021/4/10,7,諸経費                                  ,式　,1,3550 ,3550 ,〃
88472,2021/4/3,1,ニュー三喜マンション　201号室           ,　　,      ,         ,          ,
88472,2021/4/3,2,住警器(取付費込)                        ,式　,1,3000 ,3000 ,4月3日
88473,2021/4/2,1,ウエストヴィレッジ2000Ⅱ                ,　　,      ,         ,          ,
88473,2021/4/2,2,消火器10型                              ,本　,1,5700 ,5700 ,4月3日
88473,2021/4/2,3,消火器設置台                            ,台　,1,1100 ,1100 ,〃
88474,2021/4/7,1,メゾンクレセール                        ,　　,      ,         ,          ,
88474,2021/4/7,2,1階断線調査                             ,式　,1,50000 ,50000 ,4月7日
88475,2021/4/7,1,ブランノワール　202号室                 ,　　,      ,         ,          ,
88475,2021/4/7,2,住警器　煙(取付費込)                    ,台　,2,3000 ,6000 ,4月7日
88475,2021/4/7,3,住警器　熱(取付費込)                    ,台　,1,3000 ,3000 ,〃
88476,2021/4/9,1,カーサグランデ　205号室                 ,　　,      ,         ,          ,
88476,2021/4/9,2,避難はしご撤去費                        ,台　,1,3000 ,3000 ,4月9日
88476,2021/4/9,3,避難はしご処分費                        ,台　,1,1000 ,1000 ,〃
88477,2021/4/13,1,ロイヤルコーポ前田　203号室             ,　　,      ,         ,          ,
88477,2021/4/13,2,住警器(取付費込)                        ,台　,2,3000 ,6000 ,4月13日
88478,2021/4/20,1,消防設備保守点検                        ,　　,      ,         ,          ,
88478,2021/4/20,2,サクラビル（総合点検）                  ,式　,1,26070 ,26070 ,12月12日
88478,2021/4/20,3,サクラマンション紀伊（総合点検）        ,式　,1,37600 ,37600 ,〃
88478,2021/4/20,4,アネシス・ヒロ（総合点検）              ,式　,1,24640 ,24640 ,12月19日
88478,2021/4/20,5,ウエストヴィレッジ2000Ⅱ（総合点検）    ,式　,1,23620 ,23620 ,2月7日
88478,2021/4/20,6,グリーンマンションⅠ・Ⅱ（総合点検）    ,式　,1,25400 ,25400 ,3月5日
