売上№,売上日,行№,品名,単位,数量,単価,金額,備考,得意先ｺｰﾄﾞ
88847,2021/7/31,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,15
88847,2021/7/31,2,MEGAドン.キホーテ紀の川店（機器点検）  ,式　,1,82000,82000,7月6日,15
88847,2021/7/31,3,ライオンズマンション関戸（総合点検）   ,式　,1,82800,82800,7月22日,15
88847,2021/7/31,4,ライオンズマンション紀伊（総合点検）   ,式　,1,96000,96000,7月24日,15
88836,2021/7/31,1,京橋別館防災・建物設備仮復旧修繕       ,式　,1,150000,150000,                   ,207
88837,2021/7/31,1,各配水池消防用設備点検業務委託         ,式　,1,80000,80000,                   ,207
88837,2021/7/31,2,且来八幡神社　消防設備保守点検         ,式　,1,15000,15000,                   ,207
88838,2021/7/31,1,ニッタン株式会社和歌山営業所           ,　　,     ,        ,         ,                   ,207
88838,2021/7/31,2,便所改修工事                           ,式　,1,570000,570000,                   ,207
88833,2021/7/31,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,419
88833,2021/7/31,2,エバグリーン高野口店（総合点検）       ,式　,1,24000,24000,7月12日,419
88833,2021/7/31,3,焼肉三国一黒田店（総合点検）           ,式　,1,24000,24000,〃                 ,419
88833,2021/7/31,4,デリシャス廣岡吉備店（総合点検）       ,式　,1,24000,24000,7月14日,419
88833,2021/7/31,5,〃　　　（防火対象物点検）             ,式　,1,48000,48000,〃                 ,419
88833,2021/7/31,6,エバグリーン広瀬（総合点検）           ,式　,1,48000,48000,7月16日,419
88833,2021/7/31,7,〃　　　（防火対象物点検）             ,式　,1,48000,48000,〃                 ,419
88833,2021/7/31,8,エバグリーン西庄店（機器点検）         ,式　,1,24000,24000,7月19日,419
88833,2021/7/31,9,〃　　　（防火対象物点検）             ,式　,1,48000,48000,〃                 ,419
88833,2021/7/31,10,エバグリーン海南店（総合点検）         ,式　,1,48000,48000,7月20日,419
88833,2021/7/31,11,〃　　　（防火対象物点検）             ,式　,1,48000,48000,〃                 ,419
88833,2021/7/31,12,スーパーエバグリーン湯浅店（総合点検） ,式　,1,48000,48000,7月26日,419
88833,2021/7/31,13,〃　　　（防火対象物点検）             ,式　,1,48000,48000,〃                 ,419
