"売上№=masterid,dempyounum",売上日=uriagebi,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik
77181,2013/2/20,47,サニーハイツひまわり,式　,1,1260,1260,
77181,2013/2/20,48,パールハイツ有田,式　,1,924,924,
77181,2013/2/20,49,フレグランス小林,式　,1,471,471,
77181,2013/2/20,50,フレグランス延時,式　,1,471,471,
77181,2013/2/20,51,フレグランス畑毛,式　,1,1260,1260,
77181,2013/2/20,52,フレグランス藤井,式　,1,735,735,
77181,2013/2/20,53,フレグランス山崎,式　,1,1113,1113,
77181,2013/2/20,54,フレグランス森澤,式　,1,1260,1260,
77181,2013/2/20,55,フレグランス中松江,式　,1,660,660,
77181,2013/2/20,56,ガーデンハイツ箕島,式　,1,660,660,
77181,2013/2/20,57,アドザックス吉田,式　,1,471,471,
77181,2013/2/20,58,石津ハイツ,式　,1,996,996,
77181,2013/2/20,59,フォーブル石野,式　,1,735,735,
77181,2013/2/20,60,フレグランス翠,式　,1,2247,2247,
77181,2013/2/20,61,アドザックス吉田Ｂ棟,式　,1,471,471,
77181,2013/2/20,62,マリポーサ前田,式　,1,471,471,
77181,2013/2/20,63,フレグランス巴,式　,1,1416,1416,
77181,2013/2/20,64,フレグランス堀止,式　,1,471,471,
77181,2013/2/20,65,フレグランス六十谷,式　,1,735,735,
77181,2013/2/20,66,フレグランス木ノ本,式　,1,471,471,
77181,2013/2/20,67,フレグランス今吉,式　,1,1113,1113,
77181,2013/2/20,68,フレグランス矢野,式　,1,996,996,
77181,2013/2/20,69,フレグランス平田,式　,1,471,471,
77181,2013/2/20,70,フレグランス築港,式　,1,471,471,
77181,2013/2/20,71,フレグランス松ヶ岳,式　,1,471,471,
77181,2013/2/20,72,フレグランス秋桜,式　,1,471,471,
77181,2013/2/20,73,フレグランス蘭,式　,1,924,924,
77181,2013/2/20,74,フレグランス船所,式　,1,1113,1113,
77181,2013/2/20,75,フレグランス雑賀,式　,1,924,924,
77181,2013/2/20,76,フレグランスロゼ,式　,1,2037,2037,
77181,2013/2/20,77,グラン・ファーム,式　,1,1113,1113,
77181,2013/2/20,78,フレグランス栄,式　,1,996,996,
77181,2013/2/20,79,City　Kinomoto,式　,1,924,924,
77181,2013/2/20,80,フレグランスせせらぎ,式　,1,471,471,
77181,2013/2/20,81,フレグランスＡＫＩＨＯ,式　,1,924,924,
77181,2013/2/20,82,フレグランスさつき,式　,1,735,735,
77181,2013/2/20,83,ガーデンハイツ小二里,式　,1,1260,1260,
77181,2013/2/20,84,フレグランス桜が丘,式　,1,471,471,
77181,2013/2/20,85,ガーデンハイツ小二里2,式　,1,473,473,
77181,2013/2/20,86,ディアスワーブラー,式　,1,735,735,
77181,2013/2/20,87,フレグランス藤井Ⅱ,式　,1,660,660,
77181,2013/2/20,88,フレグランスフクイ,式　,1,924,924,
77181,2013/2/20,89,ディアス栄谷,式　,1,471,471,
77181,2013/2/20,90,フレグランス船所Ⅱ,式　,1,1260,1260,
77181,2013/2/20,91,ディアスかもと,式　,1,924,924,
77181,2013/2/20,92,ベルメゾン,式　,1,1260,1260,
77181,2013/2/20,93,フレグランス竹中,式　,1,473,473,
77181,2013/2/20,94,ディアス妙寺,式　,1,660,660,
77181,2013/2/20,95,ディアス松ヶ丘,式　,1,471,471,
77181,2013/2/20,96,ディアス北村,式　,1,1071,1071,
77181,2013/2/20,97,ディアスミレット,式　,1,1260,1260,
77181,2013/2/20,98,ディアスＭ,式　,1,1869,1869,
77181,2013/2/20,99,フォーブル松南,式　,1,471,471,
77181,2013/2/20,100,ウエストヒルズ,式　,1,1260,1260,
77181,2013/2/20,101,フレグランス布施屋,式　,1,735,735,
77181,2013/2/20,102,ディアス小雑賀,式　,1,807,807,
77181,2013/2/20,103,ラ・サルデーヌ,式　,1,3087,3087,
77181,2013/2/20,104,ディアス黒江,式　,1,1260,1260,
77181,2013/2/20,105,ディアス藤本,式　,1,471,471,
77181,2013/2/20,106,ディアス藤本Ⅱ,式　,1,471,471,
77181,2013/2/20,107,ディアスウチタ,式　,1,471,471,
77181,2013/2/20,108,フレグランスうの,式　,1,1255,1255,
77181,2013/2/20,109,マイルドディアスきし,式　,1,735,735,
77181,2013/2/20,110,フレグランスⅠ,式　,1,735,735,
77181,2013/2/20,111,ディアス寿里,式　,1,1332,1332,
77181,2013/2/20,112,フレグランス宮原,式　,1,924,924,
77181,2013/2/20,113,ディアスミニ,式　,1,471,471,
77181,2013/2/20,114,ディアス一本松,式　,1,2268,2268,
77181,2013/2/20,115,ディアス名高,式　,1,471,471,
77181,2013/2/20,116,マリニース西浜,式　,1,660,660,
77181,2013/2/20,117,ディアス城山,式　,1,735,735,
77181,2013/2/20,118,フレグランス池尻,式　,1,473,473,
77181,2013/2/20,119,フレグランス大宮,式　,1,660,660,
77181,2013/2/20,120,楠見中ディアス,式　,1,924,924,
77181,2013/2/20,121,セフィラ　ブラッツ,式　,1,735,735,
77181,2013/2/20,122,サニーコート,式　,1,1365,1365,
77181,2013/2/20,123,フォーレスうえだ,式　,1,1617,1617,
