"売上№=masterid,dempyounum",売上日=uriagebi,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik
72841,2009/10/1,2,3階　通路　表示灯,個　,1,150,150,
72841,2009/10/1,3,4階　通路　ｽﾘﾑ球,本　,1,1600,1600,
72841,2009/10/1,4,交換費,　　,2,1000,2000,
72842,2009/10/1,1,10月1日 ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　電球交換,　　,      ,         ,          ,
72842,2009/10/1,2,1階　ｴﾚﾍﾞｰﾀｰ前　ﾎﾞｰﾙ球,個　,1,240,240,
72842,2009/10/1,3,5階　階段　ﾐﾆｸﾘﾌﾟﾄﾝ電球,個　,1,450,450,
72842,2009/10/1,4,交換費,　　,2,1000,2000,
72843,2009/10/1,1,10月1日 ダイヤモンドプラザ電球等交換,　　,      ,         ,          ,
72843,2009/10/1,2,6階　階段　普通電球,個　,1,180,180,
72843,2009/10/1,3,交換費,　　,1,1000,1000,
72840,2009/10/1,1,消火器　ABC10型,本　,1,4000,4000,
72844,2009/10/1,1,杭ノ瀬保育園移転改築電気設備工事,　　,      ,         ,          ,
72844,2009/10/1,2,機器収容箱1級埋込型PL収容　ﾎﾞｯｸｽ,面　,3,1200,3600,
72908,2009/9/30,1,光電式ｽﾎﾟｯﾄ型煙感知器（ﾍｯﾄﾞのみ）2KH3,個　,1,9720,9720,
72908,2009/9/30,2,差動式ｽﾎﾟｯﾄ型感知器2種（ﾍﾞｰｽ共）,個　,3,1700,5100,
72908,2009/9/30,3,定温型ｽﾎﾟｯﾄ感知器特殊　TCC-60L,個　,1,1300,1300,
72908,2009/9/30,4,音響装置6型ﾍﾞﾙ　BV92631,個　,1,1600,1600,
72908,2009/9/30,5,煙感知器　光電式ｽﾎﾟｯﾄ型　3種,個　,1,8000,8000,
72908,2009/9/30,6,表示灯,個　,1,800,800,
72836,2009/9/30,1,杭ノ瀬保育園移転改築電気設備工事,　　,      ,         ,          ,
72836,2009/9/30,2,受信機埋込用ボックス　（9月9日納品）,台　,1,10350,10350,
72836,2009/9/30,3,受信機埋込用化粧枠　（9月9日納品）,台　,1,9660,9660,
72836,2009/9/30,4,差動式ｽﾎﾟｯﾄ型感知器　露出型2種,個　,32,1410,45120,
72836,2009/9/30,5,定温式ｽﾎﾟｯﾄ型感知器（1種）防水型,個　,7,992,6944,
72836,2009/9/30,6,定温式ｽﾎﾟｯﾄ型感知器（特種）防水型,個　,7,1255,8785,
72836,2009/9/30,7,光電式ｽﾎﾟｯﾄ型感知器2種　露出型,個　,13,8455,109915,
72837,2009/9/30,1,JAながみねﾌｧｰﾏｰｽﾞﾏｰｹｯﾄ,　　,      ,         ,          ,
72837,2009/9/30,2,ｲﾍﾞﾝﾄ用電源工事,式　,1,180000,180000,
72833,2009/9/29,1,誘導灯BH片面（ﾊﾟﾈﾙ共）,　　,1,25000,25000,
72833,2009/9/29,2,熱当番,個　,1,2400,2400,
72832,2009/9/28,1,消火器10型 処分費,本　,28,700,19600,
72832,2009/9/28,2,消火器20型 処分費,本　,2,1000,2000,
72824,2009/9/25,1,ﾗｲｵﾝｽﾞﾏﾝｼｮﾝ和歌山紀伊　消防設備点検,式　,1,94960,94960,
72824,2009/9/25,2,ﾗｲｵﾝｽﾞﾏﾝｼｮﾝﾘﾊﾞｰｻｲﾄﾞ布施屋　消防設備点検,式　,1,60320,60320,
72824,2009/9/25,3,ﾗｲｵﾝｽﾞﾏﾝｼｮﾝ和歌山船戸　消防設備点検,式　,1,26240,26240,
72825,2009/9/25,1,パチンコ1・2・3塩屋店　消防設備点検,式　,1,150000,150000,
72825,2009/9/25,2,防火対象物点検,式　,1,64000,64000,
72826,2009/9/25,1,1.2.3インター店,　　,      ,         ,          ,
72826,2009/9/25,2,誤報に伴う感知器取替,式　,1,19500,19500,
72919,2009/9/25,1,西神ｵﾘｴﾝﾀﾙﾎﾃﾙ　1F塾　消防設備工事,式　,1,500000,500000,
72815,2009/9/25,1,アメニティー黒田,　　,      ,         ,          ,
72815,2009/9/25,2,非常警報器具ﾊﾞｯﾃﾘｰ,台　,1,3600,3600,
72815,2009/9/25,3,消火器標識板,枚　,5,150,750,
72815,2009/9/25,4,手数料,式　,1,1800,1800,
72815,2009/9/25,5,出張料,式　,1,1500,1500,
72804,2009/9/20,1,関大前防災工事,式　,1,270000,270000,
72829,2009/9/20,1,岩崎ビル様,　　,      ,         ,          ,
72829,2009/9/20,2,ABC10型消火器,本　,10,4500,45000,
72829,2009/9/20,3,消火器破棄料,本　,10,700,7000,
72829,2009/9/20,4,避難器具　暖降機本機取替12m,台　,1,70000,70000,
72831,2009/9/20,1,P型1級複合受信機15回線,台　,1,724000,724000,
72831,2009/9/20,2,P型1級発信機,台　,3,7800,23400,
72831,2009/9/20,3,表示灯,台　,3,2400,7200,
72831,2009/9/20,4,ﾍﾞﾙ,台　,3,3700,11100,
72831,2009/9/20,5,差動式ｽﾎﾟｯﾄ型感知器2種,個　,72,3950,284400,
72831,2009/9/20,6,定温式ｽﾎﾟｯﾄ型感知器1種防水型,個　,28,2700,75600,
72831,2009/9/20,7,光電式ｽﾎﾟｯﾄ型感知器2種,個　,6,23550,141300,
72831,2009/9/20,8,光電式ｽﾎﾟｯﾄ型感知器3種,個　,6,21550,129300,
72831,2009/9/20,9,防火扉ｷｬｯﾁﾛｯｸ,個　,2,23500,47000,
72831,2009/9/20,10,工事費,式　,1,1252000,1252000,
72831,2009/9/20,11,手続立会試験費,式　,1,375000,375000,
72831,2009/9/20,12,試験調整費,式　,1,375000,375000,
72831,2009/9/20,13,消耗品雑材費,式　,1,80000,80000,
72831,2009/9/20,14,諸経費,式　,1,523350,523350,
72831,2009/9/20,15,値引き,式　,1,3418650,3418650,
72831,2009/9/20,16,高輝度誘導灯避難口C級,台　,1,30850,30850,
72831,2009/9/20,17,高輝度誘導灯避難口BL級,台　,9,45800,412200,
72831,2009/9/20,18,ﾘﾆｭｰｱﾙﾌﾟﾚｰﾄ10型用,台　,1,3400,3400,
72831,2009/9/20,19,ﾘﾆｭｰｱﾙﾌﾟﾚｰﾄ20型用,台　,7,7800,54600,
72831,2009/9/20,20,値引き,式　,1,300630,300630,
72831,2009/9/20,21,機器取付工事費,式　,1,40000,40000,
72831,2009/9/20,22,配線工事費,式　,1,20000,20000,
72831,2009/9/20,23,諸経費,式　,1,13580,13580,
72831,2009/9/20,24,受信機用収納BOX,台　,1,60000,60000,
72811,2009/9/20,1,御坊広域清掃センター　消防設備保守点検,式　,1,70000,70000,
72810,2009/9/20,1,老人保健施設プラトン消防設備保守点検,式　,1,180000,180000,
72813,2009/9/20,1,コスモ応援,　　,      ,         ,          ,
72813,2009/9/20,2,44429,人員,1,18000,18000,
72813,2009/9/20,3,44432,人員,1,18000,18000,
72813,2009/9/20,4,44433,人員,1,18000,18000,
72813,2009/9/20,5,44434,人員,1,18000,18000,
72813,2009/9/20,6,44435,人員,1,18000,18000,
72813,2009/9/20,7,44436,人員,1,18000,18000,
72813,2009/9/20,8,44439,人員,1,18000,18000,
72813,2009/9/20,9,44440,人員,1,18000,18000,
72813,2009/9/20,10,44441,人員,1,18000,18000,
72813,2009/9/20,11,44442,人員,1,18000,18000,
72813,2009/9/20,12,44443,人員,1,18000,18000,
72813,2009/9/20,13,44446,人員,1,18000,18000,
72813,2009/9/20,14,44447,人員,1,18000,18000,
72813,2009/9/20,15,44448,人員,1,18000,18000,
72813,2009/9/20,16,44449,人員,1,18000,18000,
72813,2009/9/20,17,44450,人員,1,18000,18000,
72813,2009/9/20,18,44451,人員,1,18000,18000,
72813,2009/9/20,19,44453,人員,1,18000,18000,
72813,2009/9/20,20,44454,人員,1,18000,18000,
72813,2009/9/20,21,44455,人員,1,18000,18000,
72813,2009/9/20,22,44456,人員,1,18000,18000,
72813,2009/9/20,23,44457,人員,1,18000,18000,
72813,2009/9/20,24,44458,人員,1,18000,18000,
72813,2009/9/20,25,44459,人員,1,18000,18000,
72821,2009/9/20,1,三菱電機株式会社冷熱ｼｽﾃﾑ製作所,　　,      ,         ,          ,
72821,2009/9/20,2,４工場2F換気扇増設,式　,1,10000,10000,
72798,2009/9/20,1,4番丁ハイム　消防設備点検,式　,1,23960,23960,
72799,2009/9/20,1,アヴニール 消防設備点検,式　,1,30800,30800,
72800,2009/9/20,1,グリーンフルねごろ　消防設備点検,式　,1,36000,36000,
72721,2009/9/20,1,三菱電機情報ネットワーク㈱,　　,      ,         ,          ,
72721,2009/9/20,2,感知器取替,式　,1,7500,7500,
72722,2009/9/20,1,三菱電機健康保険組合様,　　,      ,         ,          ,
72722,2009/9/20,2,体育館分自動火災報知設備受信機電池取替,式　,1,15000,15000,
72838,2009/9/20,1,有田市学校給食センター,式　,1,20000,20000,
72812,2009/9/20,1,道頓堀　宇須店,　　,      ,         ,          ,
72812,2009/9/20,2,消火器,本　,2,4000,8000,
72812,2009/9/20,3,設置台,台　,2,1000,2000,
72812,2009/9/20,4,消防設備手続立会試験費,式　,1,25000,25000,
72816,2009/9/20,1,日高高等学校,　　,      ,         ,          ,
72816,2009/9/20,2,自火報整備結線（試験調整含む）,式　,1,80000,80000,
72809,2009/9/20,1,消防設備保守点検/,式　,1,45000,45000,
72604,2009/9/20,1,消防設備保守点検,式　,1,45000,45000,
72823,2009/9/20,1,西川製作所様　消防検査,式　,1,50000,50000,
72822,2009/9/20,1,ﾓｰﾀｰﾌﾞｻﾞｰ取付（平野区ﾏﾝｼｮﾝ）,式　,1,60000,60000,
72814,2009/9/19,1,クレールレープ,　　,      ,         ,          ,
72814,2009/9/19,2,消火器標識板,枚　,1,150,150,
72814,2009/9/19,3,手数料,式　,1,300,300,
72814,2009/9/19,4,出張料,式　,1,1500,1500,
72789,2009/9/18,1,光電式ｽﾎﾟｯﾄ型感知器2種(ﾆｯﾀﾝ）,　　,1,11000,11000,
72790,2009/9/18,1,FK241,個　,1,3850,3850,
72792,2009/9/18,1,藤本食品様　感知器増設,式　,1,12000,12000,
72805,2009/9/17,1,中央電気様,　　,      ,         ,          ,
72805,2009/9/17,2,川辺西小学校　消火器ﾎﾞｯｸｽ,台　,1,2800,2800,
72786,2009/9/17,1,きのくにアバローム様　消防設備保守点検,　　,      ,         ,          ,
72786,2009/9/17,2,9月（第6回）,　　,1,44445,44445,
72784,2009/9/17,1,やすらぎの郷メゾンドシンフォニー新築工事,　　,      ,         ,          ,
72784,2009/9/17,2,（消防設備）完了,式　,1,5200000,5200000,
72782,2009/9/17,1,杭ノ瀬保育所移転改築電気設備工事,　　,      ,         ,          ,
72782,2009/9/17,2,弱電設備工事　出来高,式　,1,350000,350000,
72783,2009/9/17,1,杭ノ瀬保育所移転改築電気設備工事,　　,      ,         ,          ,
72783,2009/9/17,2,強電設備工事　出来高,式　,1,950000,950000,
72775,2009/9/16,1,消防設備保守点検に伴う修理,式　,1,150000,150000,
72777,2009/9/15,1,9月15日 パルビル　電球交換,　　,      ,         ,          ,
72777,2009/9/15,2,3 階　通路　誘導灯,本　,2,340,680,
72777,2009/9/15,3,交換費,　　,2,1000,2000,
72778,2009/9/15,1,9月15日　ｴｸﾛｰﾙﾌﾟﾗｻﾞ電球交換,　　,      ,         ,          ,
72778,2009/9/15,2,7階　通路　ｽﾘﾑ球,本　,1,1600,1600,
72778,2009/9/15,3,3階　通路　ｽﾘﾑ球,本　,1,1600,1600,
72778,2009/9/15,4,交換費,　　,2,1000,2000,
72779,2009/9/15,1,9月15日 ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　電球交換,　　,      ,         ,          ,
72779,2009/9/15,2,1階　ｴﾚﾍﾞｰﾀｰ前　ﾎﾞｰﾙ球,個　,1,240,240,
72779,2009/9/15,3,2階　ｴﾚﾍﾞｰﾀｰ前　ﾎﾞｰﾙ球,個　,1,240,240,
72779,2009/9/15,4,2階　誘導灯　20W,本　,1,340,340,
72779,2009/9/15,5,5階　階段　ﾐﾆｸﾘﾌﾟﾄﾝ電球,個　,1,450,450,
72779,2009/9/15,6,交換費,　　,4,1000,4000,
72772,2009/9/15,1,看護宿舎はまゆう　消化器,本　,102,2300,234600,
72770,2009/9/15,1,松原小学校　空気管撤去及び復旧,式　,1,200000,200000,
72769,2009/9/15,1,消防設備保守点検,式　,1,15000,15000,
72765,2009/9/12,1,電池（宅急便にて送付）,　　,1,8100,8100,
72771,2009/9/12,1,タウニィＮ　避難はしご処分工事,式　,1,3300,3300,
72766,2009/9/11,1,クレールレープ　消防設備点検,式　,1,14760,14760,
72763,2009/9/11,1,JA紀の里東部流通ｾﾝﾀｰ追加工事,式　,1,300000,300000,
72756,2009/9/11,1,コープホワイト南出島,　　,      ,         ,          ,
72756,2009/9/11,2,ABC10型（設置台付）,　　,3,5000,15000,
72756,2009/9/11,3,住宅警報器（取付料含む）,　　,8,3500,28000,
72756,2009/9/11,4,コープU-1,　　,      ,         ,          ,
72756,2009/9/11,5,ABC4型（102・203号）,本　,2,3200,6400,
72756,2009/9/11,6,ABC10型（設置台付）,　　,2,5000,10000,
72756,2009/9/11,7,同上消火器処分費,本　,1,700,700,
72755,2009/9/10,1,ﾌｧｲﾔｰﾍﾞｰｽ　注番：DEB0284,台　,1,1000,1000,
73263,2009/9/10,1,消防設備保守点検,式　,1,155421,155421,
72759,2009/9/9,1,ｵｰｸﾜｶﾞｰﾃﾞﾝﾊﾟｰｸ和歌山,　　,      ,         ,          ,
72759,2009/9/9,2,総合盤移設及び消防検査,式　,1,50000,50000,
72796,2009/9/8,1,リベラルパレス塩屋　消防設備点検,式　,1,82460,82460,
72797,2009/9/8,1,アメニティー黒田　消防設備点検,式　,1,42680,42680,
72748,2009/9/7,1,日章電機工事　様,　　,      ,         ,          ,
72748,2009/9/7,2,強化液　3㍑,本　,1,7500,7500,
72751,2009/9/7,1,株式会社松源　箕島店,　　,      ,         ,          ,
72751,2009/9/7,2,ﾓｰﾀｰZ　2S5.5,台　,1,150000,150000,
72751,2009/9/7,3,水切りっぱ　RA-25,枚　,1,350,350,
72751,2009/9/7,4,ﾒｲﾆｶﾙｼｰﾙ25EA560-J,個　,1,16000,16000,
72751,2009/9/7,5,OﾘﾝｸﾞP90,個　,1,300,300,
72751,2009/9/7,6,OﾘﾝｸﾞK235,個　,1,600,600,
72751,2009/9/7,7,電磁開閉器,個　,1,20000,20000,
72751,2009/9/7,8,分解ﾓｰﾀｰ取替　組立費,式　,1,65000,65000,
72751,2009/9/7,9,ﾏｸﾞﾈｯﾄｽｲｯﾁ取替費,式　,1,25000,25000,
72751,2009/9/7,10,試験運転費,式　,1,6000,6000,
72751,2009/9/7,11,諸経費,式　,1,14750,14750,
72745,2009/9/4,1,三菱電機株式会社冷熱システム製作所,　　,      ,         ,          ,
72745,2009/9/4,2,2A工場感知器取替,式　,1,9000,9000,
72747,2009/9/4,1,三菱電機株式会社冷熱システム製作所,　　,      ,         ,          ,
72747,2009/9/4,2,4工場誤報に伴う感知器取替,式　,1,12000,12000,
72744,2009/9/4,1,中谷電気工事㈱　橋本ﾏﾝｼｮﾝ感知器取替,式　,1,18000,18000,
72746,2009/9/4,1,ｹｱｰｾﾝﾀｰ憩い里船戸,式　,1,18000,18000,
72743,2009/9/2,1,ソレアード赤坂　住宅用火災警報器取付料,台　,36,1000,36000,
72794,2009/9/2,1,消防点検後改修工事,　　,      ,         ,          ,
72794,2009/9/2,2,川辰ビル,式　,1,22000,22000,
