ｺｰﾄﾞ,,カナ名,〒,,TEL,FAX,取引先締日=締め日,必着日,取引先入金日＝入金日,回収方法,様,相手先担当１＝担当,連絡先１＝担当連絡先,請求先ｺｰﾄﾞ
1000,株式会社はるす                      ,ﾊﾙｽ     ,648-0085,和歌山県橋本市岸上563番地の1,0736-39-3026   ,0736-39-3027   ,20,,0,1,2,大畑部長　　,               ,
1001,　　高田                            ,ﾀｶﾀﾞｻﾏ  ,640-0406,和歌山県紀の川市貴志川町西山1439,,               ,31,,0,1,1,伊勢設計　　,               ,
2,朝日プラザ中之島管理組合            ,ｱｻﾋﾌﾟﾗｻﾞ,640-8392,和歌山県和歌山市中之島289-1,               ,               ,31,,31,1,2,　　　　　　,               ,
3,株式会社 アストライン               ,ｱｽﾄﾗｲﾝ  ,640-8376,和歌山市新中通４丁目３７番地,073-433-2278   ,073-431-0388   ,20,,10,1,2,市内新中通り,4-37           ,
4,アキ電機                            ,ｱｷﾃﾞﾝｷ  ,642-0022,和歌山県海南市大野中1056-165,073-483-1039   ,               ,20,,31,1,2,　　　　　　,               ,
5,イカワ防災                          ,ｲｶﾜﾎﾞｳｻｲ,649-6321,和歌山県和歌山市布施屋625-14,073-477-3406   ,               ,31,,0,1,2,　　　　　　,               ,
9,ITTO個別指導学院 _　紀伊駅前校,ｲｯﾄｰｷｲｴｷ,649-6331,和歌山市北野530-1,073-461-3979   ,               ,31,,0,1,2,　　　　　　,               ,
11,　川村　貴秀                        ,ｶﾜﾑﾗｻﾏ  ,649-0101,和歌山県海南市下津町下津3066-22,               ,               ,31,,0,1,1,川村医院　　,               ,
12,セコム株式会社                      ,ｾｺﾑｶﾌﾞｼｷ,150-0001,東京都渋谷区神宮前1丁目5-1,               ,               ,20,,0,1,2,　　　　　　,               ,
13,医療法人三徳会                      ,ｻﾝﾄｸｶｲ  ,        ,,               ,               ,31,,0,1,2,川村医院　　,               ,
