ｺｰﾄﾞ,,カナ名,〒,,TEL,FAX,取引先締日=締め日,必着日,取引先入金日＝入金日,回収方法,様,相手先担当１＝担当,連絡先１＝担当連絡先
4,アキ電機                            ,ｱｷﾃﾞﾝｷ  ,642-0022,和歌山県海南市大野中1056-165,073-483-1039   ,               ,20,,31,1,2,　　　　　　,
15,泉州防災株式会社                    ,ｾﾝｼｭｳﾎﾞｳ,592-8342,大阪府堺市西区浜寺船尾町西3丁48,072-266-8768   ,               ,31,5,5,1,2,　　　　　　,
16,株式会社泉消防設備                  ,ｲｽﾞﾐｼｮｳﾎ,590-0936,大阪府堺市堺区宿屋町東1丁1-30,072-227-1515   ,               ,20,,20,1,2,　　　　　　,
17,青木産業株式会社                    ,ｱｵｷｻﾝｷﾞｮ,641-0006,和歌山市中島465番地,073-488-4485   ,073-488-4486   ,20,,0,1,2,青木実業　　,
24,有限会社宮井電機工業                ,ﾐﾔｲﾃﾞﾝｷｺ,649-6415,和歌山県紀の川市窪43-7,               ,               ,20,,0,1,2,　　　　　　,
30,冨岡電気                            ,ﾄﾐｵｶﾃﾞﾝｷ,640-0331,和歌山県和歌山市吉原773-2,073-479-3580   ,               ,20,,10,1,2,　　　　　　,
35,株式会社葵消防設備                  ,ｱｵｲｼｮｳﾎﾞ,640-8301,和歌山県和歌山市岩橋1625-1,073-499-8819   ,073-499-8829   ,20,,31,1,2,　　　　　　,
38,伸和電設株式会社                    ,ｼﾝﾜﾃﾞﾝｾﾂ,644-0013,和歌山県御坊市湯川町丸山814-1,0738232460     ,               ,20,25？,10,1,2,現場ファック,0738-23-1599
66,株式会社宮井組                      ,ﾐﾔｲｸﾞﾐ  ,640-8276,和歌山県和歌山市作事丁13,073-424-4191   ,073-424-4190   ,25,,25,2,2,　　　　　　,
77,株式会社関防                        ,ｶﾝﾎﾞｳ   ,640-8403,和歌山県和歌山市北島63-2,073-451-3256   ,073-455-1646   ,20,,31,1,2,　　　　　　,
82,有限会社藤堂水道商会                ,ﾄｳﾄﾞｳｽｲﾄ,642-0011,和歌山県海南市黒江309,               ,               ,20,,10,1,2,　　　　　　,
85,有限会社フジテック                  ,ﾌｼﾞﾃｯｸ  ,649-6425,和歌山県紀の川市中井阪72-13,               ,               ,20,,31,1,2,　　　　　　,
90,株式会社カワゾエ                    ,ｶﾜｿﾞｴ   ,252-0334,神奈川県相模原市南区若松3-47-15,042-744-3145   ,042-744-3134   ,20,,0,1,2,湯浅　　　　,
101,小川電機株式会社　高田営業所        ,ｵｶﾞﾜﾀｶﾀﾞ,635-0057,奈良県大和高田市南陽町13-26,               ,               ,15,20,10,1,2,　　　　　　,
118,株式会社たけでん _有田営業所,ﾀｹﾃﾞﾝｱﾘﾀ,649-0311,和歌山県有田市辻堂836-2,0737-85-0600   ,               ,31,,0,1,2,　　　　　　,
131,小川電機株式会社　和歌山営業所      ,ｵｶﾞﾜﾜｶﾔﾏ,640-8399,和歌山県和歌山市畑屋敷兵庫ノ丁3番地,073-431-8351   ,               ,15,20,0,1,2,　　　　　　,
148,坂田電工                            ,ｻｶﾀﾃﾞﾝｺｳ,640-8305,和歌山県和歌山市栗栖628,073-472-3512   ,073-473-8334   ,20,,0,1,2,　　　　　　,
151,大平電気                            ,ｵｵﾋﾗﾃﾞﾝｷ,643-0055,和歌山県有田郡広川町井関791,0737-62-4904   ,               ,20,,0,1,2,　　　　　　,
180,株式会社成祐設備工業                ,ｾｲﾕｳｾﾂﾋﾞ,642-0032,和歌山県海南市名高451番29,073-463-4685   ,073-463-4685   ,20,,20,1,2,　　　　　　,
200,和田電気工事                        ,ﾜﾀﾞﾃﾞﾝｷ ,649-6427,和歌山県紀ノ川市西井阪141-1,0736-77-5117   ,0736-77-5117   ,20,,20,1,2,　　　　　　,
201,株式会社コイケ消防設備              ,ｺｲｹｼｮｳﾎﾞ,640-8274,和歌山県和歌山市金龍寺丁41,073-422-1300   ,073-422-0882   ,20,,20,1,2,　　　　　　,
207,ニッタン株式会社　和歌山営業所      ,ﾆｯﾀﾝ    ,640-8297,和歌山県和歌山市西河岸町41-5,073-428-0145   ,073-428-0146   ,31,,10,1,2,　　　　　　,
215,リコージャパン株式会社              ,ﾘｺｰｼﾞｬﾊﾟ,640-8341,和歌山県和歌山市黒田39-2,               ,               ,20,,10,1,2,　　　　　　,
226,ＭＥＮＴＥ                          ,ﾒﾝﾃ     ,649-1213,日高郡日高町高家1143-1,0738-63-2632   ,               ,20,,20,1,2,　　　　　　,
237,株式会社キナン                      ,ｷﾅﾝ     ,641-0015,和歌山市布引710-2,073-447-0255   ,073-447-1718   ,20,,10,1,2,　　　　　　,
249,株式会社酒直                        ,ｻｶﾅｵ    ,640-8150,和歌山県和歌山市十三番丁30番地,073-431-1231   ,073-431-8028   ,0,,0,1,2,　　　　　　,
267,ハタガワ設備                        ,ﾊﾀｶﾞﾜｾﾂﾋ,640-0413,紀の川市貴志川町神戸862-8,0736-64-1466   ,0736-64-6366   ,31,,0,1,2,　　　　　　,
292,中谷電気工事株式会社                ,ﾅｶﾀﾆﾃﾞﾝｷ,649-7113,伊都郡かつらぎ町妙寺126-36,0736-22-7777   ,               ,20,25,15,1,2,　　　　　　,
308,(有)千本電気工事                    ,ﾁﾓﾄﾃﾞﾝｷ ,641-0006,和歌山市中島497-16,073-472-9695   ,               ,20,,10,1,2,　　　　　　,
311,メイク広告                          ,ﾒｲｸｺｳｺｸ ,640-8443,和歌山市延時62番地,073-455-1072   ,073-455-1131   ,20,,10,1,2,　　　　　　,
317,株式会社たけでん _和歌山営業所,ﾀｹﾃﾞﾝﾜｶ ,640-8323,和歌山市太田3-7-22,073-472-2353   ,073-476-5670   ,31,,31,1,2,　　　　　　,
344,株式会社遠藤照明 _　大阪支店,ｴﾝﾄﾞｳｼｮｳ,541-0053,大阪府大阪市中央区本町1-6-19,06-6267-7011   ,06-6267-7012   ,31,,0,1,2,　　　　　　,
