"売上№=masterid,dempyounum",行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,売上日=uriagebi,
84284,89,ディアスワーブラー                      ,式　,1,756,756,                    ,2018/3/20,
84284,90,フレグランス藤井Ⅱ                      ,式　,1,680,680,                    ,2018/3/20,
84284,91,フレグランスフクイ                      ,式　,1,950,950,                    ,2018/3/20,
84284,92,ディアス栄谷                            ,式　,1,486,486,                    ,2018/3/20,
84284,93,フレグランス船所Ⅱ                      ,式　,1,1296,1296,                    ,2018/3/20,
84284,94,ディアスかもと                          ,式　,1,950,950,                    ,2018/3/20,
84284,95,ベルメゾン                              ,式　,1,1296,1296,                    ,2018/3/20,
84284,96,フレグランス竹中                        ,式　,1,486,486,                    ,2018/3/20,
84284,97,ディアス妙寺                            ,式　,1,680,680,                    ,2018/3/20,
84284,98,ディアス松ヶ丘                          ,式　,1,486,486,                    ,2018/3/20,
84284,99,ディアス北村                            ,式　,1,1102,1102,                    ,2018/3/20,
84284,100,ディアスミレット                        ,式　,1,1296,1296,                    ,2018/3/20,
84284,101,ディアスＭ                              ,式　,1,1922,1922,                    ,2018/3/20,
84284,102,フォーブル松南                          ,式　,1,486,486,                    ,2018/3/20,
84284,103,ウエストヒルズ                          ,式　,1,1296,1296,                    ,2018/3/20,
84284,104,フレグランス布施屋                      ,式　,1,756,756,                    ,2018/3/20,
84284,105,ディアス小雑賀                          ,式　,1,832,832,                    ,2018/3/20,
84284,106,ラ・サルデーヌ                          ,式　,1,3175,3175,                    ,2018/3/20,
84284,107,ディアス黒江                            ,式　,1,1296,1296,                    ,2018/3/20,
84284,108,ディアス藤本                            ,式　,1,486,486,                    ,2018/3/20,
84284,109,ディアス藤本Ⅱ                          ,式　,1,486,486,                    ,2018/3/20,
84284,110,ディアスウチタ                          ,式　,1,486,486,                    ,2018/3/20,
84284,111,フレグランスうの                        ,式　,1,1291,1291,                    ,2018/3/20,
84284,112,マイルドディアスきし                    ,式　,1,756,756,                    ,2018/3/20,
84284,113,フレグランスⅠ                          ,式　,1,756,756,                    ,2018/3/20,
84284,114,ディアス寿里                            ,式　,1,1372,1372,                    ,2018/3/20,
84284,115,フレグランス宮原                        ,式　,1,950,950,                    ,2018/3/20,
84284,116,ディアスミニ                            ,式　,1,486,486,                    ,2018/3/20,
84284,117,ディアス一本松                          ,式　,1,2333,2333,                    ,2018/3/20,
84284,118,ディアス城山                            ,式　,1,756,756,                    ,2018/3/20,
84284,119,フレグランス池尻                        ,式　,1,486,486,                    ,2018/3/20,
84284,120,フレグランス大宮                        ,式　,1,680,680,                    ,2018/3/20,
84284,121,楠見中ディアス                          ,式　,1,950,950,                    ,2018/3/20,
84284,122,セフィラ　プラッツ                      ,式　,1,756,756,                    ,2018/3/20,
84284,123,ハイツ楠                                ,式　,1,486,486,                    ,2018/3/20,
84284,124,サニーコート                            ,式　,1,1404,1404,                    ,2018/3/20,
84284,125,フォーレスうえだ                        ,式　,1,1663,1663,                    ,2018/3/20,
84284,126,ハイツ萩                                ,式　,1,680,680,                    ,2018/3/20,
84284,127,フォーレス有本                          ,式　,1,1026,1026,                    ,2018/3/20,
84284,128,楠見中ディアスⅡ                        ,式　,1,486,486,                    ,2018/3/20,
84284,129,ハイツ森                                ,式　,1,1026,1026,                    ,2018/3/20,
84284,130,フォーレス花野                          ,式　,1,1145,1145,                    ,2018/3/20,
84284,131,ディアス片男波                          ,式　,1,756,756,                    ,2018/3/20,
84284,132,グランシード関戸                        ,式　,1,486,486,                    ,2018/3/20,
84284,133,フレグランス小雑賀                      ,式　,1,756,756,                    ,2018/3/20,
84284,134,グリーンルーフ塩屋                      ,式　,1,486,486,                    ,2018/3/20,
84284,135,フレグランス南紀の台                    ,式　,1,972,972,                    ,2018/3/20,
84284,136,グリーンルーフＣｏｃｃｏ                ,式　,1,486,486,                    ,2018/3/20,
84284,137,ハイツ楠Ⅱ                              ,式　,1,486,486,                    ,2018/3/20,
84284,138,グリーンルーフ妙寺                      ,式　,1,972,972,                    ,2018/3/20,
84284,139,シャーメゾン山中                        ,式　,1,486,486,                    ,2018/3/20,
84284,140,シャーメゾン高松                        ,式　,1,756,756,                    ,2018/3/20,
84284,141,メゾン雑賀                              ,式　,1,486,486,                    ,2018/3/20,
84284,142,グリーンルーフのうがわ                  ,式　,1,950,950,                    ,2018/3/20,
84284,143,ドエルＫ                                ,式　,1,486,486,                    ,2018/3/20,
84284,144,シャーメゾン山崎                        ,式　,1,1296,1296,                    ,2018/3/20,
84284,145,シャーメゾン新堂                        ,式　,1,1836,1836,                    ,2018/3/20,
84284,146,シャーメゾン小雑賀                      ,式　,1,1026,1026,                    ,2018/3/20,
84284,147,エクセレンス六十谷                      ,式　,1,756,756,                    ,2018/3/20,
84284,148,シャーメゾンＨＡＭＡＩＣＨＩ            ,式　,1,972,972,                    ,2018/3/20,
84284,149,シャーメゾン打田                        ,式　,1,1026,1026,                    ,2018/3/20,
84284,150,シャーメゾン堀口                        ,式　,1,1296,1296,                    ,2018/3/20,
84284,151,シャーメゾン新堂Ⅱ                      ,式　,1,1026,1026,                    ,2018/3/20,
84284,152,シャーメゾンキタグチ                    ,式　,1,486,486,                    ,2018/3/20,
84284,153,セファミ荊本                            ,式　,1,1026,1026,                    ,2018/3/20,
84284,154,フォーレスＩ＆Ｎ                        ,式　,1,486,486,                    ,2018/3/20,
84284,155,シャーメゾンＭ                          ,式　,1,486,486,                    ,2018/3/20,
84284,156,ヴィンヤードハウスⅢ                    ,式　,1,486,486,                    ,2018/3/20,
84284,157,エクセレンス六十谷Ⅱ                    ,式　,1,756,756,                    ,2018/3/20,
84284,158,ガーデンハイツ湯浅                      ,式　,1,756,756,                    ,2018/3/20,
84284,159,ルミエール湊                            ,式　,1,756,756,                    ,2018/3/20,
84284,160,シャーメゾン紀峰                        ,式　,1,756,756,                    ,2018/3/20,
84284,161,グランメール福島                        ,式　,1,756,756,                    ,2018/3/20,
84284,162,パールハイツ箕島                        ,式　,1,680,680,                    ,2018/3/20,
84284,163,ワイズヴィラ                            ,式　,1,540,540,                    ,2018/3/20,
84284,164,フォーレス・ノベル                      ,式　,1,756,756,                    ,2018/3/20,
84284,165,藤栄ハイツ                              ,式　,1,680,680,                    ,2018/3/20,
84284,166,ラ・サルデーヌⅡ                        ,式　,1,486,486,                    ,2018/3/20,
84284,167,メゾン・ルテシィア                      ,式　,1,486,486,                    ,2018/3/20,
84284,168,シャーメゾン下津                        ,式　,1,680,680,                    ,2018/3/20,
84284,169,リヴェール　ヒデ                        ,式　,1,756,756,                    ,2018/3/20,
84284,170,シャーメゾンくすの木                    ,式　,1,1944,1944,                    ,2018/3/20,
84284,171,シャーメゾン笠松                        ,式　,1,756,756,                    ,2018/3/20,
84284,172,サニーハイツ向島                        ,式　,1,486,486,                    ,2018/3/20,
84284,173,パークハイツ                            ,式　,1,486,486,                    ,2018/3/20,
84284,174,リバーサイド湯浅                        ,式　,1,756,756,                    ,2018/3/20,
84284,175,ラガール湯浅                            ,式　,1,486,486,                    ,2018/3/20,
84284,176,五月ハイツ                              ,式　,1,1361,1361,                    ,2018/3/20,
84284,177,アン・セリジェ                          ,式　,1,756,756,                    ,2018/3/20,
84284,178,ブランシェ前田                          ,式　,1,756,756,                    ,2018/3/20,
84284,179,シャーメゾン青木                        ,式　,1,756,756,                    ,2018/3/20,
84284,180,フォーナス                              ,式　,1,950,950,                    ,2018/3/20,
84284,181,パレスデュオ・照（テラス）              ,式　,1,756,756,                    ,2018/3/20,
84284,182,シャーメゾンハーヴェスト                ,式　,1,756,756,                    ,2018/3/20,
84284,183,クレール松ヶ丘                          ,式　,1,486,486,                    ,2018/3/20,
84284,184,クレール                                ,式　,1,756,756,                    ,2018/3/20,
84284,185,アン・セリジェ　Ⅱ                      ,式　,1,486,486,                    ,2018/3/20,
84284,186,フレグランス二里ヶ浜                    ,式　,1,756,756,                    ,2018/3/20,
84284,187,アベニール                              ,式　,1,756,756,                    ,2018/3/20,
84284,188,ディアス赤坂                            ,式　,1,756,756,                    ,2018/3/20,
84284,189,カサ・フィオーレＦＧ                    ,式　,1,756,756,                    ,2018/3/20,
84284,190,ブランシェ旭　Ａ棟                      ,式　,1,486,486,                    ,2018/3/20,
84284,191,ブランシェ旭　Ｂ棟                      ,式　,1,486,486,                    ,2018/3/20,
84284,192,シャーメゾン安上                        ,式　,1,950,950,                    ,2018/3/20,
84284,193,フローラ                                ,式　,1,756,756,                    ,2018/3/20,
84284,194,ワイズコート                            ,式　,1,486,486,                    ,2018/3/20,
84284,195,シャーメゾン西高松                      ,式　,1,486,486,                    ,2018/3/20,
84284,196,シャーメゾン木ノ本                      ,式　,1,680,680,                    ,2018/3/20,
84284,197,ブランシェＳ                            ,式　,1,680,680,                    ,2018/3/20,
84284,198,ディアスＡＫＩＨＯ                      ,式　,1,680,680,                    ,2018/3/20,
84284,199,シャンブルＭ                            ,式　,1,950,950,                    ,2018/3/20,
84284,200,シャーメゾン幸輝                        ,式　,1,1145,1145,                    ,2018/3/20,
84284,201,ボナール千且                            ,式　,1,756,756,                    ,2018/3/20,
84284,202,イマージュ浜の宮                        ,式　,1,486,486,                    ,2018/3/20,
84284,203,ヴィラ天神崎                            ,式　,1,918,918,                    ,2018/3/20,
84284,204,シャーメゾンフクイ                      ,式　,1,486,486,                    ,2018/3/20,
84284,205,アヴェンヌ太田                          ,式　,1,1102,1102,                    ,2018/3/20,
84284,206,メゾネット松島                          ,式　,1,486,486,                    ,2018/3/20,
84284,207,シャーメゾン今福                        ,式　,1,486,486,                    ,2018/3/20,
84284,208,イマージュ浜の宮Ⅱ                      ,式　,1,680,680,                    ,2018/3/20,
84284,209,ＫＹＡＲＡ　ＭＡＩＳＯＮ　Ⅱ            ,式　,1,486,486,                    ,2018/3/20,
84284,210,シャーメゾン西浜Ａ                      ,式　,1,680,680,                    ,2018/3/20,
84284,211,和歌浦ガーデンテラス                    ,式　,1,1296,1296,                    ,2018/3/20,
84284,212,シャーメゾン彩都Ａ                      ,式　,1,680,680,                    ,2018/3/20,
84284,213,シャーメゾンロイヤルヒルズⅠ            ,式　,1,486,486,                    ,2018/3/20,
84284,214,シャーメゾン下津野                      ,式　,1,1145,1145,                    ,2018/3/20,
84284,215,シャーメゾン砂山南                      ,式　,1,5800,5800,                    ,2018/3/20,
84284,216,べレオＫ                                ,式　,1,2030,2030,                    ,2018/3/20,
84284,217,べレオ太田                              ,式　,1,2030,2030,                    ,2018/3/20,
84284,218,シャーメゾンｂｒｉｌｌｉａｎｔ          ,式　,1,756,756,                    ,2018/3/20,
84284,219,べレオ新通                              ,式　,1,2030,2030,                    ,2018/3/20,
84284,220,べレオ堀止西                            ,式　,1,2030,2030,                    ,2018/3/20,
84284,221,ベレオ西浜ハーモニーガーデン            ,式　,1,3046,3046,                    ,2018/3/20,
84284,222,ヴィレッジ三年坂                        ,式　,1,4061,4061,                    ,2018/3/20,
84284,223,ベレオ園部                              ,式　,1,3046,3046,                    ,2018/3/20,
84284,224,ガーデンハイツⅡ                        ,式　,1,756,756,                    ,2018/3/20,
84284,225,コラール堀止                            ,式　,1,756,756,                    ,2018/3/20,
84284,226,シャーメゾン葵                          ,式　,1,486,486,                    ,2018/3/20,
84284,227,シャーメゾンＷＩＬＬ                    ,式　,1,756,756,                    ,2018/3/20,
84284,228,ベルデ堀口                              ,式　,1,2030,2030,                    ,2018/3/20,
84284,229,ＳｈａＭａｉｓｏｎ　ＮＡ                ,式　,1,756,756,                    ,2018/3/20,
84284,230,ベレオＢｒｉｌｌｉａｎｔ                ,式　,1,1620,1620,                    ,2018/3/20,
84284,231,ベレオ紀三井寺                          ,式　,1,1080,1080,                    ,2018/3/20,
84284,232,ベレオけやき                            ,式　,1,4061,4061,                    ,2018/3/20,
84284,233,シャーメゾン松江北                      ,式　,1,486,486,                    ,2018/3/20,
84284,234,シャーメゾンＬａＬａ                    ,式　,1,756,756,                    ,2018/3/20,
84284,235,ベレオコスモ                            ,式　,1,784,784,                    ,2018/3/20,
84293,1,ローソン　日高総合病院店                ,　　,      ,         ,          ,                    ,2018/3/20,
84293,2,スプリンクラー設備工事                  ,式　,1,283000,283000,3月26日,2018/3/20,
