売上日=uriagebi,"売上№=masterid,dempyounum",得意先ｺｰﾄﾞ=customerid,                                                                                                                                            ,
2021/4/10,88463,1080,   ,
2021/4/2,88446,1079,   ,
2021/3/31,88405,15,   ,
2021/3/31,88404,199,   ,
2021/3/31,88391,207,   ,
2021/3/31,88453,259,   ,
2021/3/31,88452,314,   ,
2021/3/31,88402,396,   ,
2021/3/31,88418,419,   ,
2021/3/31,88459,419,   ,
2021/3/31,88439,616,   ,
2021/3/31,88392,652,   ,
2021/3/31,88454,697,   ,
2021/3/31,88450,729,   ,
2021/3/31,88396,751,   ,
2021/3/31,88399,751,   ,
2021/3/31,88400,751,   ,
2021/3/31,88401,751,   ,
2021/3/31,88437,751,   ,
2021/3/31,88445,751,   ,
2021/3/31,88451,751,   ,
2021/3/31,88420,889,   ,
2021/3/31,88465,1010,   ,
2021/3/31,88460,1065,   ,
2021/3/30,88435,616,   ,
2021/3/30,88438,751,   ,
2021/3/29,88422,141,   ,
2021/3/29,88436,419,   ,
2021/3/29,88397,751,   ,
2021/3/29,88427,1055,   ,
2021/3/27,88389,639,   ,
2021/3/27,88390,639,   ,
2021/3/26,88388,872,   ,
2021/3/26,88403,934,   ,
2021/3/25,88448,505,   ,
2021/3/25,88464,1010,   ,
2021/3/24,88387,314,   ,
2021/3/24,88394,751,   ,
2021/3/23,88412,15,   ,
2021/3/22,88424,705,   ,
2021/3/20,88407,15,   ,
2021/3/20,88410,15,   ,
2021/3/20,88345,45,   ,
2021/3/20,88383,378,   ,
2021/3/20,88443,751,   ,
2021/3/20,88384,757,   ,
2021/3/20,88367,763,   ,
2021/3/19,88385,35,   ,
2021/3/19,88350,152,   ,
2021/3/18,88408,15,   ,
2021/3/18,88341,264,   ,
2021/3/17,88336,71,   ,
2021/3/16,88426,452,   ,
2021/3/16,88334,872,   ,
2021/3/15,88364,36,   ,
2021/3/15,88434,616,   ,
2021/3/15,88337,634,   ,
2021/3/15,88339,634,   ,
2021/3/14,88381,38,   ,
2021/3/13,88378,38,   ,
2021/3/13,88379,38,   ,
2021/3/13,88382,38,   ,
2021/3/13,88353,639,   ,
2021/3/13,88354,639,   ,
2021/3/13,88355,639,   ,
2021/3/13,88393,751,   ,
2021/3/12,88413,15,   ,
2021/3/12,88419,673,   ,
2021/3/11,88351,152,   ,
2021/3/11,88433,1078,   ,
2021/3/10,88375,279,   ,
2021/3/10,88421,318,   ,
2021/3/10,88349,586,   ,
2021/3/9,88343,45,   ,
2021/3/9,88358,546,   ,
2021/3/9,88365,578,   ,
2021/3/8,88363,36,   ,
2021/3/8,88376,38,   ,
2021/3/8,88386,66,   ,
2021/3/8,88440,646,   ,
2021/3/7,88395,751,   ,
2021/3/5,88370,36,   ,
2021/3/5,88362,60,   ,
2021/3/5,88357,546,   ,
2021/3/5,88359,546,   ,
2021/3/4,88423,141,   ,
2021/3/3,88352,152,   ,
2021/3/3,88328,314,   ,
2021/3/3,88398,751,   ,
2021/3/3,88360,762,   ,
2021/3/3,88319,899,   ,
2021/3/1,88380,38,   ,
2021/3/1,88368,48,   ,
2021/2/28,88287,15,   ,
2021/2/28,88288,15,   ,
2021/2/28,88300,419,   ,
2021/2/28,88296,439,   ,
2021/2/28,88324,616,   ,
2021/2/28,88309,751,   ,
2021/2/28,88327,889,   ,
2021/2/28,88301,1055,   ,
2021/2/28,88280,1059,   ,
2021/2/28,88281,1071,   ,
2021/2/28,88285,1075,   ,
2021/2/26,88275,207,   ,
2021/2/26,88279,396,   ,
2021/2/26,88366,578,   ,
2021/2/26,88416,697,   ,
2021/2/26,88311,751,   ,
2021/2/25,88361,60,   ,
2021/2/25,88374,96,   ,
2021/2/25,88276,207,   ,
2021/2/25,88277,207,   ,
2021/2/25,88259,505,   ,
2021/2/25,88414,956,   ,
2021/2/24,88290,15,   ,
2021/2/24,88342,45,   ,
2021/2/24,88356,546,   ,
2021/2/22,88291,15,   ,
2021/2/22,88307,419,   ,
2021/2/22,88369,803,   ,
2021/2/22,88318,834,   ,
2021/2/20,88226,45,   ,
2021/2/20,88266,96,   ,
2021/2/20,88204,378,   ,
2021/2/20,88255,546,   ,
2021/2/20,88265,546,   ,
2021/2/19,88223,45,   ,
2021/2/19,88239,152,   ,
2021/2/19,88221,223,   ,
2021/2/19,88310,751,   ,
2021/2/18,88267,38,   ,
2021/2/16,88217,45,   ,
2021/2/16,88218,45,   ,
2021/2/16,88246,98,   ,
2021/2/15,88200,634,   ,
2021/2/15,88201,634,   ,
2021/2/15,88333,634,   ,
2021/2/15,88198,652,   ,
2021/2/13,88215,45,   ,
2021/2/13,88216,45,   ,
2021/2/12,88272,38,   ,
2021/2/12,88199,131,   ,
2021/2/12,88263,198,   ,
2021/2/12,88371,645,   ,
2021/2/12,88304,705,   ,
2021/2/12,88372,707,   ,
2021/2/10,88210,45,   ,
2021/2/10,88212,45,   ,
2021/2/10,88213,45,   ,
2021/2/10,88214,45,   ,
2021/2/10,88321,314,   ,
2021/2/9,88312,751,   ,
2021/2/8,88289,15,   ,
2021/2/8,88247,56,   ,
2021/2/7,88417,506,   ,
2021/2/6,88292,15,   ,
2021/2/6,88442,42,   ,
2021/2/6,88273,173,   ,
2021/2/6,88205,763,   ,
2021/2/5,88348,19,   ,
2021/2/5,88209,45,   ,
2021/2/5,88278,396,   ,
2021/2/5,88308,419,   ,
2021/2/5,88302,437,   ,
2021/2/5,88305,616,   ,
2021/2/5,88252,663,   ,
2021/2/5,88197,1069,   ,
2021/2/4,88313,15,   ,
2021/2/4,88192,71,   ,
2021/2/4,88190,131,   ,
2021/2/4,88323,616,   ,
2021/2/4,88251,781,   ,
2021/2/3,88189,1073,   ,
2021/2/2,88253,663,   ,
2021/1/31,88179,764,   ,
2021/1/31,88152,1009,   ,
2021/1/30,88137,396,   ,
2021/1/30,88160,729,   ,
2021/1/30,88262,1074,   ,
2021/1/29,88208,45,   ,
2021/1/29,88187,112,   ,
2021/1/29,88317,199,   ,
2021/1/29,88177,207,   ,
2021/1/29,88183,326,   ,
2021/1/29,88164,419,   ,
2021/1/29,88166,751,   ,
2021/1/29,88167,751,   ,
2021/1/29,88170,751,   ,
2021/1/29,88171,751,   ,
2021/1/29,88184,751,   ,
2021/1/29,88195,751,   ,
2021/1/29,88176,889,   ,
2021/1/28,88145,15,   ,
2021/1/28,88242,152,   ,
2021/1/28,88132,396,   ,
2021/1/28,88133,396,   ,
2021/1/28,88134,396,   ,
2021/1/28,88135,396,   ,
2021/1/28,88161,419,   ,
2021/1/28,88178,751,   ,
2021/1/28,88158,764,   ,
2021/1/27,88256,132,   ,
2021/1/26,88271,38,   ,
2021/1/26,88254,60,   ,
2021/1/26,88125,267,   ,
2021/1/26,88128,1072,   ,
2021/1/25,88129,438,   ,
2021/1/25,88116,505,   ,
2021/1/25,88148,582,   ,
2021/1/23,88138,15,   ,
2021/1/22,88268,38,   ,
2021/1/22,88250,48,   ,
2021/1/22,88243,152,   ,
2021/1/21,88149,141,   ,
2021/1/21,88150,141,   ,
2021/1/21,88238,519,   ,
2021/1/21,88156,853,   ,
2021/1/20,88084,38,   ,
2021/1/20,88120,38,   ,
2021/1/20,88064,45,   ,
2021/1/20,88118,45,   ,
