"売上№=masterid,dempyounum",売上日=uriagebi,得意先ｺｰﾄﾞ=customerid,得意先名,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,
88463,2021/4/10,1080,有限会社森下設備                                  ,1,差動式スポット型感知器2種,個　,1,1850,1850,4月10日,
88463,2021/4/10,1080,有限会社森下設備                                  ,2,定温式スポット型感知器特種,個　,3,1300,3900,〃                  ,
88463,2021/4/10,1080,有限会社森下設備                                  ,3,AE0.9-4C　電線,ｍ　,20,35,700,〃                  ,
88463,2021/4/10,1080,有限会社森下設備                                  ,4,工事費,式　,1,20000,20000,〃                  ,
88463,2021/4/10,1080,有限会社森下設備                                  ,5,試験調整費,式　,1,5000,5000,〃                  ,
88463,2021/4/10,1080,有限会社森下設備                                  ,6,消耗品雑材費,式　,1,1000,1000,〃                  ,
88463,2021/4/10,1080,有限会社森下設備                                  ,7,諸経費,式　,1,3550,3550,〃                  ,
88446,2021/4/2,1079,魚谷メンタルクリニック                            ,1,魚谷メンタルクリニック　様,　　,      ,         ,          ,                    ,
88446,2021/4/2,1079,魚谷メンタルクリニック                            ,2,診察室　自動火災報知器取替工事,式　,1,11000,11000,                    ,
88405,2021/3/31,15,泉州防災株式会社                                  ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88405,2021/3/31,15,泉州防災株式会社                                  ,2,マルハンぶらくり丁店（機器点検）,式　,1,25200,25200,1月13日,
88405,2021/3/31,15,泉州防災株式会社                                  ,3,りんくうエルガビル（防火対象物・防災管理,式　,1,100000,100000,1月19日,
88405,2021/3/31,15,泉州防災株式会社                                  ,4,ライオンズマンション中松江（機器点検）,式　,1,72000,72000,3月6日,
88405,2021/3/31,15,泉州防災株式会社                                  ,5,ライオンズマンション塩屋（総合点検）,式　,1,47200,47200,3月7日,
88404,2021/3/31,199,株式会社アイセン                                  ,1,株式会社アイセン様,　　,      ,         ,          ,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,2,本社　焼却炉給水管取替工事,　　,      ,         ,          ,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,3,耐衝撃性硬質ﾎﾟﾘ塩化ﾋﾞﾆﾙ管(HIVP20),ｍ　,1,242,242,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,4,耐衝撃性硬質ﾎﾟﾘ塩化ﾋﾞﾆﾙ管(HIVP25)0.5ｍ,式　,1,176,176,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,5,継手接合材,式　,1,8393,8393,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,6,仕切弁(GV25A),台　,1,5940,5940,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,7,配管工費,式　,1,27500,27500,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,8,消耗品雑材費,式　,1,3300,3300,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,9,諸経費,式　,1,5449,5449,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,10,　,　　,      ,         ,          ,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,11,赤坂工場　外部汚水管修繕工事,　　,      ,         ,          ,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,12,硬質ﾎﾟﾘ塩化ﾋﾞﾆﾙ管(VP100),ｍ　,1,1485,1485,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,13,継手接合材,式　,1,7546,7546,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,14,伸縮ｽﾗｲﾄﾞｿｹｯﾄ(φ100),台　,1,8019,8019,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,15,配管取替費,式　,1,19800,19800,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,16,足場設置費,式　,1,38500,38500,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,17,消耗品雑材費,式　,1,6050,6050,                    ,
88404,2021/3/31,199,株式会社アイセン                                  ,18,諸経費,式　,1,8600,8600,                    ,
88391,2021/3/31,207,ニッタン株式会社　和歌山営業所                    ,1,(仮称)NTBすさみ新築工事,　　,      ,         ,          ,                    ,
88391,2021/3/31,207,ニッタン株式会社　和歌山営業所                    ,2,電気設備工事,式　,1,560000,560000,12/11～3/30         ,
88391,2021/3/31,207,ニッタン株式会社　和歌山営業所                    ,3,　,　　,      ,         ,          ,                    ,
88391,2021/3/31,207,ニッタン株式会社　和歌山営業所                    ,4,オークワ新宮駐車場,　　,      ,         ,          ,                    ,
88391,2021/3/31,207,ニッタン株式会社　和歌山営業所                    ,5,防災設備更新工事,式　,1,100000,100000,                    ,
88453,2021/3/31,259,アサカワリフォーム株式会社                        ,1,百楽分　ダクト消火設備撤去工事,式　,1,77000,77000,                    ,
88452,2021/3/31,314,和歌山市長　尾花　正啓                            ,1,消防設備整備業務委託工事,　　,      ,         ,          ,                    ,
88452,2021/3/31,314,和歌山市長　尾花　正啓                            ,2,湊幼稚園消防設備業務委託,式　,1,74000,74000,3/19～3/31          ,
88452,2021/3/31,314,和歌山市長　尾花　正啓                            ,3,吹上小学校外2校消防設備整備業務委託,式　,1,385000,385000,〃                  ,
88452,2021/3/31,314,和歌山市長　尾花　正啓                            ,4,川永小学校外4校消防設備整備業務委託,式　,1,198000,198000,〃                  ,
88452,2021/3/31,314,和歌山市長　尾花　正啓                            ,5,木本小学校外4校消防設備整備業務委託,式　,1,375000,375000,〃                  ,
88452,2021/3/31,314,和歌山市長　尾花　正啓                            ,6,楠見中学校外1校消防設備整備業務委託,式　,1,114000,114000,〃                  ,
88402,2021/3/31,396,大和リビング株式会社　和歌山営業所                ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88402,2021/3/31,396,大和リビング株式会社　和歌山営業所                ,2,Ｄ－Ｒｏｏｍ出島（総合点検）,式　,1,34040,34040,3/26、3/27          ,
88418,2021/3/31,419,綜合警備保障株式会社                              ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88418,2021/3/31,419,綜合警備保障株式会社                              ,2,焼肉三国一海南店（総合点検）,式　,1,24000,24000,3月1日,
88418,2021/3/31,419,綜合警備保障株式会社                              ,3,U-Carプラザ和歌山インター店（総合点検）,式　,1,25000,25000,3月11日,
88418,2021/3/31,419,綜合警備保障株式会社                              ,4,ぱん工房かたつむり（総合点検）,式　,1,20000,20000,3月16日,
88418,2021/3/31,419,綜合警備保障株式会社                              ,5,おかし工房桜和（総合点検）,式　,1,20000,20000,〃                  ,
88418,2021/3/31,419,綜合警備保障株式会社                              ,6,ミラック（総合点検）,式　,1,18000,18000,3月25日,
88459,2021/3/31,419,綜合警備保障株式会社                              ,1,志茂合繊メリヤス㈱,　　,      ,         ,          ,                    ,
88459,2021/3/31,419,綜合警備保障株式会社                              ,2,消防設備修理工事,式　,1,404000,404000,                    ,
88439,2021/3/31,616,メディカルメイト株式会社                          ,1,納品,　　,      ,         ,          ,                    ,
88439,2021/3/31,616,メディカルメイト株式会社                          ,2,表示灯,個　,1,1500,1500,3月31日,
88392,2021/3/31,652,小川電機株式会社　貝塚営業所                      ,1,ＡＬＬＡＧＩ堺店,　　,      ,         ,          ,                    ,
88392,2021/3/31,652,小川電機株式会社　貝塚営業所                      ,2,消防設備工事,式　,1,921000,921000,2/8～3/30           ,
88392,2021/3/31,652,小川電機株式会社　貝塚営業所                      ,3,消火器処分費,本　,6,800,4800,〃                  ,
88454,2021/3/31,697,有料老人ホーム　かしの木苑                        ,1,粉末ABC10型消火器,本　,3,4500,13500,                    ,
88454,2021/3/31,697,有料老人ホーム　かしの木苑                        ,2,処分費,本　,3,1000,3000,                    ,
88454,2021/3/31,697,有料老人ホーム　かしの木苑                        ,3,※4/8実施,　　,      ,         ,          ,                    ,
88450,2021/3/31,729,ＡＬＳＯＫビルサービス株式会社                    ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88450,2021/3/31,729,ＡＬＳＯＫビルサービス株式会社                    ,2,スーパーエバグリーン広陵店（機器点検）,式　,1,24000,24000,3月31日,
88396,2021/3/31,751,岡野消防設備株式会社                              ,1,123＋Nはりまや橋店,　　,      ,         ,          ,                    ,
88396,2021/3/31,751,岡野消防設備株式会社                              ,2,駐車場4階西・4階東,　　,      ,         ,          ,                    ,
88396,2021/3/31,751,岡野消防設備株式会社                              ,3,自動火災報知設備断線修理工事,式　,1,1000000,1000000,2/4～3/12           ,
88396,2021/3/31,751,岡野消防設備株式会社                              ,4,　,　　,      ,         ,          ,                    ,
88396,2021/3/31,751,岡野消防設備株式会社                              ,5,消防設備保守点検後不備改修工事,式　,1,113000,113000,3月31日,
88399,2021/3/31,751,岡野消防設備株式会社                              ,1,123+N岡山本店,　　,      ,         ,          ,                    ,
88399,2021/3/31,751,岡野消防設備株式会社                              ,2,防火シャッター鍵　調査及び納品,式　,1,100000,100000,                    ,
88400,2021/3/31,751,岡野消防設備株式会社                              ,1,123有田店,　　,      ,         ,          ,                    ,
88400,2021/3/31,751,岡野消防設備株式会社                              ,2,仮設工事,式　,1,273000,273000,                    ,
88401,2021/3/31,751,岡野消防設備株式会社                              ,1,ホームズ尼崎店,　　,      ,         ,          ,                    ,
88401,2021/3/31,751,岡野消防設備株式会社                              ,2,自動火災報知設備更新工事,式　,1,14000000,14000000,3/30消検            ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,2,123座間店（総合点検）,式　,1,160000,160000,2月18日,
88437,2021/3/31,751,岡野消防設備株式会社                              ,3,〃　（防火対象物点検）,式　,1,50000,50000,〃                  ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,4,ふくちぁんラーメン（総合点検）,式　,1,24000,24000,2月22日,
88437,2021/3/31,751,岡野消防設備株式会社                              ,5,123松原店・立駐・レストコーナー(総合点検,式　,1,100000,100000,〃                  ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,6,〃　（防火対象物点検）,式　,1,40000,40000,〃                  ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,7,NESTA RESOAT KOBE（機器点検）,式　,1,1300000,1300000,2/24～3/4           ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,8,延田ビル（機器点検）,式　,1,60000,60000,2月27日,
88437,2021/3/31,751,岡野消防設備株式会社                              ,9,旭物流第8倉庫（機器点検）,式　,1,50000,50000,3月3日,
88437,2021/3/31,751,岡野消防設備株式会社                              ,10,123大林店（機器点検）,式　,1,60000,60000,3月4日,
88437,2021/3/31,751,岡野消防設備株式会社                              ,11,123南昭和店（総合点検）,式　,1,135000,135000,3月5日,
88437,2021/3/31,751,岡野消防設備株式会社                              ,12,〃　（防火対象物点検）,式　,1,40000,40000,〃                  ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,13,123+N和歌山本店・立駐（機器点検）,式　,1,100000,100000,〃                  ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,14,123堺インター店・駐車場（総合点検）,式　,1,100000,100000,3月9日,
88437,2021/3/31,751,岡野消防設備株式会社                              ,15,〃　（防火対象物点検）,式　,1,40000,40000,〃                  ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,16,123松茂店（機器点検）,式　,1,90000,90000,〃                  ,
88437,2021/3/31,751,岡野消防設備株式会社                              ,17,123上板店（機器点検）,式　,1,55000,55000,3月12日,
88445,2021/3/31,751,岡野消防設備株式会社                              ,1,123南昭和店,　　,      ,         ,          ,                    ,
88445,2021/3/31,751,岡野消防設備株式会社                              ,2,消防設備保守点検後不備改修工事,」式,1,50000,50000,3月31日,
88451,2021/3/31,751,岡野消防設備株式会社                              ,1,123南昭和店,　　,      ,         ,          ,                    ,
88451,2021/3/31,751,岡野消防設備株式会社                              ,2,立体駐車場3階　発信機中継器取替工事,式　,1,35000,35000,                    ,
88420,2021/3/31,889,株式会社森田工務店                                ,1,コメリパワー新宮店新築工事,　　,      ,         ,          ,                    ,
88420,2021/3/31,889,株式会社森田工務店                                ,2,契約金額\45000000の内出来高最終請求,式　,1,6000000,6000000,                    ,
88420,2021/3/31,889,株式会社森田工務店                                ,3,機械設備工事,式　,1,6900000,6900000,                    ,
88465,2021/3/31,1010,ＫＳＣ株式会社                                    ,1,JOYFIT　東大阪　原状復旧工事,　　,      ,         ,          ,                    ,
88465,2021/3/31,1010,ＫＳＣ株式会社                                    ,2,本体工事,式　,1,1100000,1100000,3/1～3/31           ,
88465,2021/3/31,1010,ＫＳＣ株式会社                                    ,3,追加工事,式　,1,322000,322000,〃                  ,
88465,2021/3/31,1010,ＫＳＣ株式会社                                    ,4,誘導灯工事,式　,1,40000,40000,〃                  ,
88465,2021/3/31,1010,ＫＳＣ株式会社                                    ,5,メーター工事,式　,1,50000,50000,〃                  ,
88460,2021/3/31,1065,共同産業株式会社　東京オフィス                    ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88460,2021/3/31,1065,共同産業株式会社　東京オフィス                    ,2,表参道インベスメントビル（機器点検）,式　,1,210080,210080,3/15・3/16          ,
88460,2021/3/31,1065,共同産業株式会社　東京オフィス                    ,3,〃　（防火対象物点検）,式　,1,80000,80000,〃                  ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,1,済生会千里病院,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,2,既設品　移設　撤去　復旧工事,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,3,ガス回収,台　,3,12500,37500,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,4,室内機移設,台　,2,45000,90000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,5,チャックバルブ取付,個　,4,8500,34000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,6,冷媒管ヘッダー上げドレン配管復旧,式　,1,25000,25000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,7,ガスチャージ,式　,1,8000,8000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,8,試験調整費,式　,1,10000,10000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,9,消耗品雑材費,式　,1,30000,30000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,10,　,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,11,新設エアコンビルトレイン,台　,1,160000,160000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,12,新設エアコン,台　,1,90000,90000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,13,消耗品雑材費,式　,1,30000,30000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,14,　,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,15,ダクト工事,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,16,保温フレキ250材工費,ｍ　,40,4000,160000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,17,保温フレキ200材工費,ｍ　,10,3300,33000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,18,保温フレキ150材工費,ｍ　,10,2800,28000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,19,送風機支給品つり込み,式　,1,10000,10000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,20,キャンパスダクト材工費,台　,6,6800,40800,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,21,制気口用マイクロボックス材工費,台　,5,12500,62500,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,22,亜鉛鋼鈑製400×400,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,23,五面ボックス材工費,台　,1,7000,7000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,24,亜鉛鋼鈑製230×1075×250,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,25,空調機チャンバーボックス材工費,個　,2,13000,26000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,26,ダクト撤去及び既存ボックス類,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,27,移設工事閉止板材工費,式　,1,60000,60000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,28,既設制気口類移設工事,式　,1,15000,15000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,29,レントゲン検査,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,30,基本探査料（技術料、機器損料安全管理料）,式　,1,105000,105000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,31,撮影費X線フィルム通常,枚　,6,2700,16200,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,32,フィルム特種品,枚　,1,5000,5000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,33,50×220,個　,1,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,34,80×220,個　,2,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,35,90×220,個　,1,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,36,100×220,個　,1,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,37,65×150,個　,1,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,38,50×150,個　,1,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,39,65×310,個　,1,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,40,工事費,式　,1,42000,42000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,41,　,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,42,スプリンクラー撤去及び増設移設,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,43,スプリンクラーヘッド撤去,個　,3,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,44,スプリンクラーヘッド,個　,1,1500,1500,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,45,スプリンクラーヘッド移設,個　,1,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,46,マジックジョイント,個　,1,55000,55000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,47,25A配管,本　,2,2500,5000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,48,同上付属品,式　,1,25000,25000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,49,工事費,式　,1,180000,180000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,50,消防手続き立会試験費,式　,1,70000,70000,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,51,　,　　,      ,         ,          ,                    ,
88435,2021/3/30,616,メディカルメイト株式会社                          ,52,諸経費,式　,1,146500,146500,                    ,
88438,2021/3/30,751,岡野消防設備株式会社                              ,1,123大林店,　　,      ,         ,          ,                    ,
88438,2021/3/30,751,岡野消防設備株式会社                              ,2,消防設備保守点検後不備改修工事,式　,1,38000,38000,3月30日,
88422,2021/3/29,141,株式会社オーティーエル                            ,1,天満シミズビル　1階　新時代　天満店,　　,      ,         ,          ,                    ,
88422,2021/3/29,141,株式会社オーティーエル                            ,2,消防設備工事,式　,1,50000,50000,3/5･3/18･3/29       ,
88422,2021/3/29,141,株式会社オーティーエル                            ,3,書類作成及び立会試験,式　,1,50000,50000,〃                  ,
88436,2021/3/29,419,綜合警備保障株式会社                              ,1,㈱スズキ自販和歌山西浜店,　　,      ,         ,          ,                    ,
88436,2021/3/29,419,綜合警備保障株式会社                              ,2,消防設備保守点検に伴う修理,式　,1,127000,127000,                    ,
88397,2021/3/29,751,岡野消防設備株式会社                              ,1,カーサdiポルタ,　　,      ,         ,          ,                    ,
88397,2021/3/29,751,岡野消防設備株式会社                              ,2,防火シャッター内部機器調査,式　,1,64000,64000,3月2日,
88397,2021/3/29,751,岡野消防設備株式会社                              ,3,防火シャッター内部機器取替工事,式　,1,90000,90000,3月29日,
88427,2021/3/29,1055,株式会社　小薮設備                                ,1,東和中学校・和歌浦小学校,　　,      ,         ,          ,                    ,
88427,2021/3/29,1055,株式会社　小薮設備                                ,2,空調電気設備工事,式　,1,135000,135000,3/25･3/29           ,
88389,2021/3/27,639,公立大学法人和歌山県立医科大学                    ,1,令和2年度病修第247号,　　,      ,         ,          ,                    ,
88389,2021/3/27,639,公立大学法人和歌山県立医科大学                    ,2,エネルギーセンター防災設備用管理PC修繕,式　,1,450000,450000,                    ,
88390,2021/3/27,639,公立大学法人和歌山県立医科大学                    ,1,令和2年度学修第91号,　　,      ,         ,          ,                    ,
88390,2021/3/27,639,公立大学法人和歌山県立医科大学                    ,2,RI動物実験施設サル第2飼育感知器修繕,式　,1,66000,66000,                    ,
88388,2021/3/26,872,和歌山電工株式会社                                ,1,注文番号：Q583MO,　　,      ,         ,          ,                    ,
88388,2021/3/26,872,和歌山電工株式会社                                ,2,粉末ABC消火器10型(ﾘｻｲｸﾙｼｰﾙ代込),本　,2,4000,8000,3月25日,
88388,2021/3/26,872,和歌山電工株式会社                                ,3,BF102S　消火器BOX（10型2本用）　SUS,台　,1,11000,11000,〃                  ,
88403,2021/3/26,934,有限会社 中川電設工業                             ,1,医療法人慈愛会勝田胃腸内科外科医院,　　,      ,         ,          ,                    ,
88403,2021/3/26,934,有限会社 中川電設工業                             ,2,差動式スポット型感知器2種,個　,4,1516,6064,3/26消検            ,
88403,2021/3/26,934,有限会社 中川電設工業                             ,3,工事費,式　,1,60000,60000,〃                  ,
88403,2021/3/26,934,有限会社 中川電設工業                             ,4,手続き立会試験費,式　,1,50000,50000,〃                  ,
88403,2021/3/26,934,有限会社 中川電設工業                             ,5,消耗品雑材費,式　,1,3000,3000,〃                  ,
88403,2021/3/26,934,有限会社 中川電設工業                             ,6,諸経費,式　,1,5936,5936,〃                  ,
88448,2021/3/25,505,神樂防災株式会社                                  ,1,現場応援費,式　,1,300000,300000,                    ,
